uid,perc_repeat_7,gender,age_group,regions_us
528,0.2807570977917981,Male,18-44,West
529,0.20535714285714285,Female,18-44,Midwest
531,0.33783783783783783,Female,18-44,West
533,0.19444444444444445,Female,18-44,Midwest
534,0.2894736842105263,Female,18-44,NA
535,0.23114355231143552,NA,NA,NA
536,0.45161290322580644,Female,18-44,West
537,0.2271186440677966,Female,18-44,South
538,0.2624113475177305,Female,18-44,South
539,0.5851063829787234,Female,18-44,NA
540,0.3087248322147651,Female,18-44,NA
542,0.5288461538461539,Female,18-44,NA
543,0.17146974063400577,NA,NA,NA
546,0.4518413597733711,NA,NA,NA
547,0.30238095238095236,Female,18-44,Midwest
548,0.23265306122448978,Female,18-44,South
549,0.47058823529411764,NA,NA,NA
550,0.36086956521739133,Female,45+,Midwest
551,0.4496124031007752,NA,NA,NA
552,0.15384615384615385,Female,18-44,NA
554,0.629111266620014,NA,NA,NA
555,0.45901639344262296,Female,18-44,Northeast
556,0.7692307692307693,Male,45+,South
557,0.2867647058823529,Female,18-44,Midwest
558,0.4032258064516129,Male,18-44,NA
559,0.5769230769230769,NA,NA,NA
561,0.6175,Female,18-44,NA
562,0.4542897327707454,Female,18-44,West
563,0.2968036529680365,NA,NA,NA
564,0.1951219512195122,Female,18-44,South
565,0.4434389140271493,NA,NA,NA
566,0.5543964232488823,Female,18-44,South
567,0.30344827586206896,Female,18-44,South
568,0.2391304347826087,Female,18-44,West
569,0.4046242774566474,Female,18-44,NA
570,0.6660682226211849,Female,18-44,Northeast
571,0.47553516819571867,Female,45+,Midwest
572,0.6598513011152416,NA,NA,NA
573,0.5423940149625935,Female,45+,South
575,0.12195121951219512,NA,NA,NA
576,0.36645962732919257,NA,NA,NA
577,0.32867132867132864,Female,18-44,NA
580,0.36464088397790057,Female,18-44,Midwest
581,0.3333333333333333,Female,45+,South
582,0.23255813953488372,Female,45+,NA
583,0.5334114888628371,Male,45+,West
584,0.14285714285714285,Female,18-44,South
585,0.28205128205128205,Female,18-44,West
587,0.38795518207282914,Female,18-44,West
589,0.5293146160198183,Male,45+,South
590,0.6691729323308271,Female,18-44,Northeast
591,0.25396825396825395,Male,18-44,South
592,0.2826086956521739,Female,18-44,Northeast
593,0.37894736842105264,Female,18-44,South
594,0.36515748031496065,Male,18-44,Northeast
595,0.17592592592592593,Female,18-44,South
596,0.3523809523809524,Male,18-44,South
597,0.2923076923076923,Female,18-44,NA
598,0.3090909090909091,Female,18-44,Midwest
599,0.18840579710144928,NA,NA,NA
601,0.615866388308977,Female,18-44,Midwest
602,0.6689342403628118,Female,45+,NA
603,0.44680851063829785,Female,18-44,West
605,0.3795871559633027,Female,18-44,NA
606,0.296875,Female,18-44,West
607,0.4090909090909091,Female,18-44,Midwest
609,0.6600331674958541,Male,18-44,South
610,0.4,Male,45+,South
611,0.4804270462633452,Female,18-44,NA
612,0.46835443037974683,Female,45+,South
613,0.5167464114832536,Male,18-44,NA
614,0.5688073394495413,Female,18-44,Midwest
