uid,Model,nDCG@5,Gender,US Regions,Age Groups
508,Mixture Decay,0.5095997434356541,Female,,45+
509,Mixture Decay,0.0,Female,Northeast,18-44
510,Mixture Decay,0.1386233568690388,,,
511,Mixture Decay,0.3134188345064112,Female,South,18-44
512,Mixture Decay,0.7574962765797453,Female,,18-44
514,Mixture Decay,0.3998792490829939,Male,West,18-44
515,Mixture Decay,0.7283298378654577,Male,,18-44
518,Mixture Decay,0.20477013148382,Female,Midwest,18-44
519,Mixture Decay,0.3669568419468458,,,
520,Mixture Decay,0.39146979505458657,Male,South,18-44
521,Mixture Decay,0.13315518045613134,Female,South,18-44
522,Mixture Decay,0.4910091968503725,Female,,18-44
523,Mixture Decay,0.43185052943851415,Female,,18-44
524,Mixture Decay,0.2482540269503813,,,
526,Mixture Decay,0.1685147865784308,Male,,18-44
528,Mixture Decay,0.38839796392701614,Male,West,18-44
529,Mixture Decay,0.2548884143344788,Female,Midwest,18-44
531,Mixture Decay,0.2775506538364699,Female,West,18-44
533,Mixture Decay,0.15110229376513915,Female,Midwest,18-44
534,Mixture Decay,0.6501302547628999,Female,,18-44
535,Mixture Decay,0.17808364704779822,,,
536,Mixture Decay,0.5511939171108873,Female,West,18-44
537,Mixture Decay,0.2716539978405549,Female,South,18-44
538,Mixture Decay,0.2582935180917274,Female,South,18-44
539,Mixture Decay,0.7123805385272629,Female,,18-44
540,Mixture Decay,0.3425972738031223,Female,,18-44
542,Mixture Decay,0.5136529388681768,Female,,18-44
543,Mixture Decay,0.27391703968991976,,,
546,Mixture Decay,0.2760302218354689,,,
547,Mixture Decay,0.2379897908270672,Female,Midwest,18-44
548,Mixture Decay,0.1842813594567347,Female,South,18-44
549,Mixture Decay,0.5201105022191842,,,
550,Mixture Decay,0.43925883330949256,Female,Midwest,45+
551,Mixture Decay,0.3740550759311865,,,
552,Mixture Decay,0.0,Female,,18-44
554,Mixture Decay,0.3892701843997926,,,
555,Mixture Decay,0.6709655928487711,Female,Northeast,18-44
556,Mixture Decay,0.580690814456909,Male,South,45+
557,Mixture Decay,0.35578106250635416,Female,Midwest,18-44
558,Mixture Decay,0.7804003167571915,Male,,18-44
559,Mixture Decay,0.5486292617724907,,,
561,Mixture Decay,0.67976578748221,Female,,18-44
562,Mixture Decay,0.3287063819986889,Female,West,18-44
563,Mixture Decay,0.3773149712660481,,,
564,Mixture Decay,0.5108132914547543,Female,South,18-44
565,Mixture Decay,0.5629302356018732,,,
566,Mixture Decay,0.6483320206227988,Female,South,18-44
567,Mixture Decay,0.3783834050605124,Female,South,18-44
568,Mixture Decay,0.2599222615179922,Female,West,18-44
569,Mixture Decay,0.488065787266373,Female,,18-44
570,Mixture Decay,0.532565836856415,Female,Northeast,18-44
571,Mixture Decay,0.3729573781101157,Female,Midwest,45+
572,Mixture Decay,0.8265984159641848,,,
573,Mixture Decay,0.6085401432465722,Female,South,45+
576,Mixture Decay,0.28161750579633243,,,
577,Mixture Decay,0.5032849684880442,Female,,18-44
580,Mixture Decay,0.2878704397995381,Female,Midwest,18-44
581,Mixture Decay,0.22307666882043992,Female,South,45+
582,Mixture Decay,0.4588029343773676,Female,,45+
583,Mixture Decay,0.5666548593494083,Male,West,45+
584,Mixture Decay,0.6214921702459199,Female,South,18-44
585,Mixture Decay,0.2347594992576182,Female,West,18-44
587,Mixture Decay,0.2461659831217936,Female,West,18-44
589,Mixture Decay,0.4872795502469636,Male,South,45+
590,Mixture Decay,0.5907401646206727,Female,Northeast,18-44
591,Mixture Decay,0.7827324383928643,Male,South,18-44
592,Mixture Decay,0.41359499643771136,Female,Northeast,18-44
593,Mixture Decay,0.4087911456062637,Female,South,18-44
594,Mixture Decay,0.3274383513646151,Male,Northeast,18-44
595,Mixture Decay,0.22358602419415347,Female,South,18-44
596,Mixture Decay,0.4534183380954554,Male,South,18-44
597,Mixture Decay,0.5458571563353495,Female,,18-44
598,Mixture Decay,0.6738833863886766,Female,Midwest,18-44
599,Mixture Decay,0.0365170874606766,,,
601,Mixture Decay,0.6899001896150941,Female,Midwest,18-44
602,Mixture Decay,0.5535410663497513,Female,,45+
603,Mixture Decay,0.6747777418591288,Female,West,18-44
605,Mixture Decay,0.2487218379236005,Female,,18-44
606,Mixture Decay,0.2099799632712094,Female,West,18-44
607,Mixture Decay,0.5140473420795906,Female,Midwest,18-44
609,Mixture Decay,0.6321471870955961,Male,South,18-44
610,Mixture Decay,0.5692390155756775,Male,South,45+
611,Mixture Decay,0.3247588249786025,Female,,18-44
